,agency,uploaded_on,value,uploaded_dt,dt_scrape,description
19,DEPARTMENT OF EDUCATION,2/10/2025,9150854.0,2025-02-10,2025-03-05-1332,
20,DEPARTMENT OF EDUCATION,2/10/2025,4506218.0,2025-02-10,2025-03-05-1332,
21,DEPARTMENT OF EDUCATION,2/10/2025,11653965.0,2025-02-10,2025-03-05-1332,
22,DEPARTMENT OF EDUCATION,2/10/2025,13318352.0,2025-02-10,2025-03-05-1332,
23,DEPARTMENT OF EDUCATION,2/10/2025,5277224.0,2025-02-10,2025-03-05-1332,
24,DEPARTMENT OF EDUCATION,2/10/2025,6903111.0,2025-02-10,2025-03-05-1332,
25,DEPARTMENT OF EDUCATION,2/10/2025,2775628.0,2025-02-10,2025-03-05-1332,
26,DEPARTMENT OF EDUCATION,2/10/2025,662744.0,2025-02-10,2025-03-05-1332,
27,DEPARTMENT OF EDUCATION,2/10/2025,15005675.0,2025-02-10,2025-03-05-1332,
28,DEPARTMENT OF EDUCATION,2/10/2025,5947162.0,2025-02-10,2025-03-05-1332,
29,DEPARTMENT OF EDUCATION,2/10/2025,3931044.0,2025-02-10,2025-03-05-1332,
30,DEPARTMENT OF EDUCATION,2/10/2025,2172133.0,2025-02-10,2025-03-05-1332,
31,DEPARTMENT OF EDUCATION,2/10/2025,3490854.0,2025-02-10,2025-03-05-1332,
32,USAID,1/24/2025,2365702.0,2025-01-24,2025-03-05-1332,
33,USAID,1/30/2025,8000000.0,2025-01-30,2025-03-05-1332,
34,USAID,2/10/2025,15700000.0,2025-02-10,2025-03-05-1332,
35,USAID,2/10/2025,24500000.0,2025-02-10,2025-03-05-1332,
36,USAID,2/10/2025,19526440.0,2025-02-10,2025-03-05-1332,
37,USAID,2/10/2025,1500000.0,2025-02-10,2025-03-05-1332,
38,USAID,2/10/2025,10000000.0,2025-02-10,2025-03-05-1332,
39,USAID,2/10/2025,1000000.0,2025-02-10,2025-03-05-1332,
40,USAID,2/10/2025,6000000.0,2025-02-10,2025-03-05-1332,
41,USAID,2/10/2025,28000000.0,2025-02-10,2025-03-05-1332,
42,USAID,2/10/2025,11000000.0,2025-02-10,2025-03-05-1332,
43,USAID,2/10/2025,15999654.0,2025-02-10,2025-03-05-1332,
44,USAID,2/10/2025,1466694.0,2025-02-10,2025-03-05-1332,
45,USAID,2/10/2025,185000.0,2025-02-10,2025-03-05-1332,
46,USAID,2/10/2025,16355000.0,2025-02-10,2025-03-05-1332,
47,USAID,2/10/2025,4700000.0,2025-02-10,2025-03-05-1332,
48,USAID,2/11/2025,21600000.0,2025-02-11,2025-03-05-1332,
49,USAID,2/11/2025,2399953.0,2025-02-11,2025-03-05-1332,
50,USAID,2/11/2025,26490383.0,2025-02-11,2025-03-05-1332,
51,USAID,2/11/2025,14950000.0,2025-02-11,2025-03-05-1332,
52,USAID,2/11/2025,500000.0,2025-02-11,2025-03-05-1332,
53,USAID,2/11/2025,14550000.0,2025-02-11,2025-03-05-1332,
54,USAID,2/11/2025,21000000.0,2025-02-11,2025-03-05-1332,
55,USAID,1/25/2025,9949533.0,2025-01-25,2025-03-05-1332,
56,USAID,2/11/2025,3020000.0,2025-02-11,2025-03-05-1332,
57,USAID,2/11/2025,1999451.0,2025-02-11,2025-03-05-1332,
58,USAID,2/11/2025,19800000.0,2025-02-11,2025-03-05-1332,
59,USAID,2/11/2025,4000000.0,2025-02-11,2025-03-05-1332,
60,USAID,2/11/2025,17500000.0,2025-02-11,2025-03-05-1332,
61,USAID,2/11/2025,6400000.0,2025-02-11,2025-03-05-1332,
62,USAID,2/11/2025,17000000.0,2025-02-11,2025-03-05-1332,
63,USAID,2/11/2025,24500000.0,2025-02-11,2025-03-05-1332,
64,USAID,2/11/2025,29000000.0,2025-02-11,2025-03-05-1332,
65,USAID,2/11/2025,25000000.0,2025-02-11,2025-03-05-1332,
66,USAID,2/11/2025,36000000.0,2025-02-11,2025-03-05-1332,
67,USAID,2/11/2025,20000000.0,2025-02-11,2025-03-05-1332,
68,USAID,2/11/2025,47000000.0,2025-02-11,2025-03-05-1332,
69,USAID,2/11/2025,4600000.0,2025-02-11,2025-03-05-1332,
70,USAID,2/11/2025,4186109.0,2025-02-11,2025-03-05-1332,
71,USAID,2/11/2025,10851354.0,2025-02-11,2025-03-05-1332,
72,USAID,2/11/2025,7000000.0,2025-02-11,2025-03-05-1332,
73,USAID,2/11/2025,20469999.0,2025-02-11,2025-03-05-1332,
74,USAID,2/11/2025,5000000.0,2025-02-11,2025-03-05-1332,
75,USAID,2/11/2025,26056000.0,2025-02-11,2025-03-05-1332,
76,USAID,1/30/2025,400000.0,2025-01-30,2025-03-05-1332,
77,USAID,2/11/2025,19477181.0,2025-02-11,2025-03-05-1332,
78,USAID,2/12/2025,2000000.0,2025-02-12,2025-03-05-1332,
79,USAID,2/12/2025,15550000.0,2025-02-12,2025-03-05-1332,
80,USAID,2/12/2025,19000000.0,2025-02-12,2025-03-05-1332,
81,USAID,2/12/2025,9500000.0,2025-02-12,2025-03-05-1332,
82,USAID,2/12/2025,17600000.0,2025-02-12,2025-03-05-1332,
83,USAID,2/12/2025,19600000.0,2025-02-12,2025-03-05-1332,
84,USAID,2/6/2025,1799150.0,2025-02-06,2025-03-05-1332,
85,USAID,2/10/2025,77500000.0,2025-02-10,2025-03-05-1332,
86,USAID,2/10/2025,62500000.0,2025-02-10,2025-03-05-1332,
87,USAID,2/6/2025,7500000.0,2025-02-06,2025-03-05-1332,
88,USAID,2/6/2025,49964668.0,2025-02-06,2025-03-05-1332,
89,USAID,2/6/2025,199251.0,2025-02-06,2025-03-05-1332,
90,USAID,2/10/2025,4377394.0,2025-02-10,2025-03-05-1332,
91,USAID,2/10/2025,2499995.0,2025-02-10,2025-03-05-1332,
92,USAID,2/10/2025,899858.0,2025-02-10,2025-03-05-1332,
93,USAID,2/10/2025,18735000.0,2025-02-10,2025-03-05-1332,
94,USAID,2/10/2025,700000.0,2025-02-10,2025-03-05-1332,
95,USAID,2/10/2025,5000000.0,2025-02-10,2025-03-05-1332,
96,USAID,2/10/2025,8250000.0,2025-02-10,2025-03-05-1332,
97,USAID,2/10/2025,2500000.0,2025-02-10,2025-03-05-1332,
98,USAID,2/12/0205,59552142.0,,2025-03-05-1332,
99,USAID,2/11/2025,20100000.0,2025-02-11,2025-03-05-1332,
100,USAID,2/11/2025,70000000.0,2025-02-11,2025-03-05-1332,
101,USAID,2/11/2025,35000000.0,2025-02-11,2025-03-05-1332,
102,USAID,2/11/2025,53264317.0,2025-02-11,2025-03-05-1332,
103,USAID,2/11/2025,24999825.0,2025-02-11,2025-03-05-1332,
104,USAID,2/11/2025,40000000.0,2025-02-11,2025-03-05-1332,
105,USAID,2/11/2025,79249987.0,2025-02-11,2025-03-05-1332,
106,USAID,2/11/2025,62000000.0,2025-02-11,2025-03-05-1332,
107,USAID,2/11/2025,42217035.0,2025-02-11,2025-03-05-1332,
108,USAID,2/11/2025,43000000.0,2025-02-11,2025-03-05-1332,
109,USAID,2/11/2025,49500000.0,2025-02-11,2025-03-05-1332,
110,USAID,2/11/2025,43568610.0,2025-02-11,2025-03-05-1332,
111,USAID,2/11/2025,54992940.0,2025-02-11,2025-03-05-1332,
112,USAID,2/11/2025,128500000.0,2025-02-11,2025-03-05-1332,
113,USAID,2/6/2025,1800000.0,2025-02-06,2025-03-05-1332,
114,USAID,2/11/2025,62900000.0,2025-02-11,2025-03-05-1332,
115,USAID,2/11/2025,38000000.0,2025-02-11,2025-03-05-1332,
116,USAID,2/11/2025,1323093.0,2025-02-11,2025-03-05-1332,
117,USAID,2/12/2025,93599994.0,2025-02-12,2025-03-05-1332,
118,USAID,2/12/2025,96999895.0,2025-02-12,2025-03-05-1332,
119,USAID,2/12/2025,47500000.0,2025-02-12,2025-03-05-1332,
120,USAID,2/12/2025,37495000.0,2025-02-12,2025-03-05-1332,
121,USAID,2/12/2025,60000000.0,2025-02-12,2025-03-05-1332,
122,USAID,2/6/2025,1500000.0,2025-02-06,2025-03-05-1332,
123,USAID,2/12/2025,25635960.0,2025-02-12,2025-03-05-1332,
124,USAID,2/6/2025,3467480.0,2025-02-06,2025-03-05-1332,
125,USAID,2/6/2025,1195836.0,2025-02-06,2025-03-05-1332,
126,USAID,2/7/2025,500000.0,2025-02-07,2025-03-05-1332,
127,USAID,2/10/2025,21823000.0,2025-02-10,2025-03-05-1332,
128,USAID,2/10/2025,40000000.0,2025-02-10,2025-03-05-1332,
129,USAID,2/10/2025,90000000.0,2025-02-10,2025-03-05-1332,
130,USAID,2/10/2025,55000000.0,2025-02-10,2025-03-05-1332,
131,USAID,2/11/2025,14500000.0,2025-02-11,2025-03-05-1332,
132,USAID,2/6/2025,318653764.0,2025-02-06,2025-03-05-1332,
133,USAID,2/11/2025,29946856.0,2025-02-11,2025-03-05-1332,
134,USAID,2/6/2025,30000000.0,2025-02-06,2025-03-05-1332,
135,USAID,2/6/2025,20759.0,2025-02-06,2025-03-05-1332,
136,USAID,2/11/2025,39484357.0,2025-02-11,2025-03-05-1332,
137,USAID,2/13/2025,60000000.0,2025-02-13,2025-03-05-1332,
138,USAID,2/13/2025,51310195.0,2025-02-13,2025-03-05-1332,
139,DEPARTMENT OF EDUCATION,2/12/2025,2165033.0,2025-02-12,2025-03-05-1332,
140,DEPARTMENT OF EDUCATION,2/12/2025,4882350.0,2025-02-12,2025-03-05-1332,
141,DEPARTMENT OF EDUCATION,2/12/2025,3692915.0,2025-02-12,2025-03-05-1332,
142,DEPARTMENT OF EDUCATION,2/12/2025,2371270.0,2025-02-12,2025-03-05-1332,
143,DEPARTMENT OF EDUCATION,2/12/2025,2804102.0,2025-02-12,2025-03-05-1332,
144,DEPARTMENT OF EDUCATION,2/12/2025,6513745.0,2025-02-12,2025-03-05-1332,
145,DEPARTMENT OF EDUCATION,2/12/2025,7117470.0,2025-02-12,2025-03-05-1332,
146,DEPARTMENT OF EDUCATION,2/12/2025,6657837.0,2025-02-12,2025-03-05-1332,
147,DEPARTMENT OF EDUCATION,2/12/2025,6568462.0,2025-02-12,2025-03-05-1332,
148,DEPARTMENT OF EDUCATION,2/12/2025,1319977.0,2025-02-12,2025-03-05-1332,
149,DEPARTMENT OF EDUCATION,2/12/2025,5930962.0,2025-02-12,2025-03-05-1332,
150,DEPARTMENT OF EDUCATION,2/12/2025,8378847.0,2025-02-12,2025-03-05-1332,
151,DEPARTMENT OF EDUCATION,2/12/2025,3050976.0,2025-02-12,2025-03-05-1332,
152,DEPARTMENT OF EDUCATION,2/12/2025,4006731.0,2025-02-12,2025-03-05-1332,
153,DEPARTMENT OF EDUCATION,2/12/2025,2370130.0,2025-02-12,2025-03-05-1332,
154,DEPARTMENT OF EDUCATION,2/12/2025,8389304.0,2025-02-12,2025-03-05-1332,
155,DEPARTMENT OF EDUCATION,2/12/2025,6007002.0,2025-02-12,2025-03-05-1332,
156,DEPARTMENT OF EDUCATION,2/12/2025,6241763.0,2025-02-12,2025-03-05-1332,
157,DEPARTMENT OF EDUCATION,2/12/2025,2616124.0,2025-02-12,2025-03-05-1332,
158,DEPARTMENT OF EDUCATION,2/12/2025,4171894.0,2025-02-12,2025-03-05-1332,
159,DEPARTMENT OF EDUCATION,2/12/2025,8545893.0,2025-02-12,2025-03-05-1332,
160,DEPARTMENT OF EDUCATION,2/12/2025,1414373.0,2025-02-12,2025-03-05-1332,
161,DEPARTMENT OF EDUCATION,2/12/2025,5649324.0,2025-02-12,2025-03-05-1332,
162,DEPARTMENT OF EDUCATION,2/12/2025,1106304.0,2025-02-12,2025-03-05-1332,
163,DEPARTMENT OF EDUCATION,2/12/2025,5293227.0,2025-02-12,2025-03-05-1332,
164,DEPARTMENT OF EDUCATION,2/12/2025,3335348.0,2025-02-12,2025-03-05-1332,
165,DEPARTMENT OF EDUCATION,2/12/2025,4503669.0,2025-02-12,2025-03-05-1332,
166,DEPARTMENT OF EDUCATION,2/12/2025,7878539.0,2025-02-12,2025-03-05-1332,
167,DEPARTMENT OF EDUCATION,2/12/2025,4228801.0,2025-02-12,2025-03-05-1332,
168,DEPARTMENT OF EDUCATION,2/12/2025,2375747.0,2025-02-12,2025-03-05-1332,
169,DEPARTMENT OF EDUCATION,2/12/2025,3356160.0,2025-02-12,2025-03-05-1332,
170,DEPARTMENT OF EDUCATION,2/12/2025,9719230.0,2025-02-12,2025-03-05-1332,
171,DEPARTMENT OF EDUCATION,2/12/2025,1303909.0,2025-02-12,2025-03-05-1332,
172,DEPARTMENT OF EDUCATION,2/12/2025,2294738.0,2025-02-12,2025-03-05-1332,
173,DEPARTMENT OF EDUCATION,2/12/2025,3285709.0,2025-02-12,2025-03-05-1332,
174,DEPARTMENT OF EDUCATION,2/12/2025,1261718.0,2025-02-12,2025-03-05-1332,
175,DEPARTMENT OF EDUCATION,2/12/2025,1186935.0,2025-02-12,2025-03-05-1332,
176,DEPARTMENT OF EDUCATION,2/12/2025,487807.0,2025-02-12,2025-03-05-1332,
177,DEPARTMENT OF EDUCATION,2/12/2025,3524401.0,2025-02-12,2025-03-05-1332,
178,DEPARTMENT OF EDUCATION,2/12/2025,1849011.0,2025-02-12,2025-03-05-1332,
179,DEPARTMENT OF EDUCATION,2/12/2025,4073691.0,2025-02-12,2025-03-05-1332,
180,DEPARTMENT OF EDUCATION,2/12/2025,1797750.0,2025-02-12,2025-03-05-1332,
181,DEPARTMENT OF EDUCATION,2/12/2025,3844820.0,2025-02-12,2025-03-05-1332,
182,DEPARTMENT OF EDUCATION,2/12/2025,8044648.0,2025-02-12,2025-03-05-1332,
183,DEPARTMENT OF EDUCATION,2/12/2025,3499999.0,2025-02-12,2025-03-05-1332,
184,DEPARTMENT OF EDUCATION,2/12/2025,4719035.0,2025-02-12,2025-03-05-1332,
185,DEPARTMENT OF EDUCATION,2/12/2025,5898695.0,2025-02-12,2025-03-05-1332,
186,DEPARTMENT OF EDUCATION,2/12/2025,7487510.0,2025-02-12,2025-03-05-1332,
187,DEPARTMENT OF EDUCATION,2/12/2025,631843.0,2025-02-12,2025-03-05-1332,
188,DEPARTMENT OF EDUCATION,2/12/2025,3791664.0,2025-02-12,2025-03-05-1332,
189,DEPARTMENT OF EDUCATION,2/12/2025,1184430.0,2025-02-12,2025-03-05-1332,
190,DEPARTMENT OF EDUCATION,2/12/2025,7469325.0,2025-02-12,2025-03-05-1332,
191,DEPARTMENT OF EDUCATION,2/12/2025,9306229.0,2025-02-12,2025-03-05-1332,
192,DEPARTMENT OF EDUCATION,2/12/2025,5747655.0,2025-02-12,2025-03-05-1332,
193,DEPARTMENT OF EDUCATION,2/12/2025,7975521.0,2025-02-12,2025-03-05-1332,
194,DEPARTMENT OF EDUCATION,2/12/2025,2361400.0,2025-02-12,2025-03-05-1332,
195,DEPARTMENT OF EDUCATION,2/12/2025,9056449.0,2025-02-12,2025-03-05-1332,
196,DEPARTMENT OF EDUCATION,2/12/2025,2158238.0,2025-02-12,2025-03-05-1332,
197,DEPARTMENT OF EDUCATION,2/12/2025,8502340.0,2025-02-12,2025-03-05-1332,
198,DEPARTMENT OF EDUCATION,2/12/2025,4676106.0,2025-02-12,2025-03-05-1332,
199,DEPARTMENT OF EDUCATION,2/12/2025,4237200.0,2025-02-12,2025-03-05-1332,
200,DEPARTMENT OF EDUCATION,2/12/2025,9258547.0,2025-02-12,2025-03-05-1332,
201,DEPARTMENT OF EDUCATION,2/12/2025,7988347.0,2025-02-12,2025-03-05-1332,
202,DEPARTMENT OF EDUCATION,2/12/2025,5153884.0,2025-02-12,2025-03-05-1332,
203,DEPARTMENT OF EDUCATION,2/12/2025,8017306.0,2025-02-12,2025-03-05-1332,
204,DEPARTMENT OF EDUCATION,2/12/2025,3380649.0,2025-02-12,2025-03-05-1332,
205,DEPARTMENT OF EDUCATION,2/12/2025,8407872.0,2025-02-12,2025-03-05-1332,
206,DEPARTMENT OF EDUCATION,2/12/2025,9913020.0,2025-02-12,2025-03-05-1332,
207,DEPARTMENT OF EDUCATION,2/12/2025,3067134.0,2025-02-12,2025-03-05-1332,
208,DEPARTMENT OF EDUCATION,2/12/2025,8510029.0,2025-02-12,2025-03-05-1332,
209,DEPARTMENT OF EDUCATION,2/13/2025,8218498.0,2025-02-13,2025-03-05-1332,
210,DEPARTMENT OF EDUCATION,2/13/2025,8226640.0,2025-02-13,2025-03-05-1332,
211,DEPARTMENT OF EDUCATION,2/13/2025,8294184.0,2025-02-13,2025-03-05-1332,
212,DEPARTMENT OF EDUCATION,2/13/2025,8107355.0,2025-02-13,2025-03-05-1332,
213,DEPARTMENT OF EDUCATION,2/18/2025,11396794.0,2025-02-18,2025-03-05-1332,
214,DEPARTMENT OF EDUCATION,2/18/2025,14126498.0,2025-02-18,2025-03-05-1332,
215,DEPARTMENT OF EDUCATION,2/18/2025,12144894.0,2025-02-18,2025-03-05-1332,
216,DEPARTMENT OF EDUCATION,2/18/2025,17763689.0,2025-02-18,2025-03-05-1332,
217,DEPARTMENT OF EDUCATION,2/18/2025,9022106.0,2025-02-18,2025-03-05-1332,
218,DEPARTMENT OF EDUCATION,2/18/2025,3610469.0,2025-02-18,2025-03-05-1332,
219,DEPARTMENT OF EDUCATION,2/18/2025,21275095.0,2025-02-18,2025-03-05-1332,
220,DEPARTMENT OF EDUCATION,2/18/2025,10270782.0,2025-02-18,2025-03-05-1332,
221,DEPARTMENT OF EDUCATION,2/18/2025,5715777.0,2025-02-18,2025-03-05-1332,
222,DEPARTMENT OF EDUCATION,2/18/2025,1763513.0,2025-02-18,2025-03-05-1332,
223,DEPARTMENT OF EDUCATION,2/18/2025,939768.0,2025-02-18,2025-03-05-1332,
224,DEPARTMENT OF EDUCATION,2/18/2025,6535968.0,2025-02-18,2025-03-05-1332,
225,DEPARTMENT OF EDUCATION,2/18/2025,12519835.0,2025-02-18,2025-03-05-1332,
226,DEPARTMENT OF EDUCATION,2/18/2025,6319419.0,2025-02-18,2025-03-05-1332,
227,DEPARTMENT OF EDUCATION,2/18/2025,7750850.0,2025-02-18,2025-03-05-1332,
228,DEPARTMENT OF EDUCATION,2/18/2025,8563751.0,2025-02-18,2025-03-05-1332,
229,DEPARTMENT OF EDUCATION,2/18/2025,6879974.0,2025-02-18,2025-03-05-1332,
230,DEPARTMENT OF EDUCATION,2/18/2025,10927183.0,2025-02-18,2025-03-05-1332,
231,DEPARTMENT OF EDUCATION,2/18/2025,7243753.0,2025-02-18,2025-03-05-1332,
232,DEPARTMENT OF EDUCATION,2/18/2025,17239813.0,2025-02-18,2025-03-05-1332,
233,DEPARTMENT OF EDUCATION,2/18/2025,1148881.0,2025-02-18,2025-03-05-1332,
234,DEPARTMENT OF EDUCATION,2/18/2025,11406253.0,2025-02-18,2025-03-05-1332,
235,DEPARTMENT OF EDUCATION,2/18/2025,6556437.0,2025-02-18,2025-03-05-1332,
236,DEPARTMENT OF EDUCATION,2/18/2025,5384154.0,2025-02-18,2025-03-05-1332,
237,DEPARTMENT OF EDUCATION,2/18/2025,13056227.0,2025-02-18,2025-03-05-1332,
238,DEPARTMENT OF EDUCATION,2/18/2025,2446069.0,2025-02-18,2025-03-05-1332,
239,DEPARTMENT OF EDUCATION,2/18/2025,13507563.0,2025-02-18,2025-03-05-1332,
240,DEPARTMENT OF EDUCATION,2/18/2025,7750000.0,2025-02-18,2025-03-05-1332,
241,DEPARTMENT OF EDUCATION,2/18/2025,9021560.0,2025-02-18,2025-03-05-1332,
242,DEPARTMENT OF EDUCATION,2/18/2025,25198845.0,2025-02-18,2025-03-05-1332,
243,DEPARTMENT OF EDUCATION,2/18/2025,22437090.0,2025-02-18,2025-03-05-1332,
244,DEPARTMENT OF EDUCATION,2/18/2025,30000000.0,2025-02-18,2025-03-05-1332,
245,DEPARTMENT OF EDUCATION,2/18/2025,5749996.0,2025-02-18,2025-03-05-1332,
246,DEPARTMENT OF EDUCATION,2/18/2025,12253440.0,2025-02-18,2025-03-05-1332,
247,DEPARTMENT OF EDUCATION,2/18/2025,11897855.0,2025-02-18,2025-03-05-1332,
248,DEPARTMENT OF EDUCATION,2/18/2025,23044104.0,2025-02-18,2025-03-05-1332,
249,DEPARTMENT OF EDUCATION,2/18/2025,9656886.9,2025-02-18,2025-03-05-1332,
250,DEPARTMENT OF EDUCATION,2/18/2025,11901866.0,2025-02-18,2025-03-05-1332,
251,DEPARTMENT OF EDUCATION,2/18/2025,11314749.0,2025-02-18,2025-03-05-1332,
252,DEPARTMENT OF EDUCATION,2/18/2025,15288255.0,2025-02-18,2025-03-05-1332,
253,DEPARTMENT OF EDUCATION,2/18/2025,5749999.0,2025-02-18,2025-03-05-1332,
254,DEPARTMENT OF EDUCATION,2/18/2025,5750000.0,2025-02-18,2025-03-05-1332,
255,DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/20/2025,1000000.0,2025-02-20,2025-03-05-1332,
256,ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,4000000.0,2025-02-22,2025-03-05-1332,
257,ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,5100000.0,2025-02-22,2025-03-05-1332,
258,DEPARTMENT OF STATE,2/26/2025,22300.0,2025-02-26,2025-03-05-1332,
259,DEPARTMENT OF STATE,2/26/2025,250000000.0,2025-02-26,2025-03-05-1332,
260,DEPARTMENT OF STATE,2/26/2025,96325832.0,2025-02-26,2025-03-05-1332,
261,DEPARTMENT OF STATE,2/26/2025,63042000.0,2025-02-26,2025-03-05-1332,
262,DEPARTMENT OF STATE,2/26/2025,59250000.0,2025-02-26,2025-03-05-1332,
263,DEPARTMENT OF STATE,2/26/2025,53660000.0,2025-02-26,2025-03-05-1332,
264,DEPARTMENT OF STATE,2/26/2025,50850000.0,2025-02-26,2025-03-05-1332,
265,DEPARTMENT OF STATE,2/26/2025,50677151.0,2025-02-26,2025-03-05-1332,
266,DEPARTMENT OF STATE,2/26/2025,45000000.0,2025-02-26,2025-03-05-1332,
267,DEPARTMENT OF STATE,2/26/2025,43657781.0,2025-02-26,2025-03-05-1332,
268,DEPARTMENT OF STATE,2/26/2025,38213325.0,2025-02-26,2025-03-05-1332,
269,DEPARTMENT OF STATE,2/26/2025,35000000.0,2025-02-26,2025-03-05-1332,
270,DEPARTMENT OF STATE,2/26/2025,31510591.0,2025-02-26,2025-03-05-1332,
271,DEPARTMENT OF STATE,2/26/2025,30905027.0,2025-02-26,2025-03-05-1332,
272,DEPARTMENT OF STATE,2/26/2025,30147074.0,2025-02-26,2025-03-05-1332,
273,DEPARTMENT OF STATE,2/26/2025,30000000.0,2025-02-26,2025-03-05-1332,
274,DEPARTMENT OF STATE,2/26/2025,28410490.0,2025-02-26,2025-03-05-1332,
275,DEPARTMENT OF STATE,2/26/2025,28064399.0,2025-02-26,2025-03-05-1332,
276,DEPARTMENT OF STATE,2/26/2025,27729878.0,2025-02-26,2025-03-05-1332,
277,DEPARTMENT OF STATE,2/26/2025,25298782.0,2025-02-26,2025-03-05-1332,
278,DEPARTMENT OF STATE,2/26/2025,22469135.0,2025-02-26,2025-03-05-1332,
279,DEPARTMENT OF STATE,2/26/2025,21873120.0,2025-02-26,2025-03-05-1332,
280,DEPARTMENT OF STATE,2/26/2025,21728395.0,2025-02-26,2025-03-05-1332,
281,DEPARTMENT OF STATE,2/26/2025,20897571.0,2025-02-26,2025-03-05-1332,
282,DEPARTMENT OF STATE,2/26/2025,20450000.0,2025-02-26,2025-03-05-1332,
283,DEPARTMENT OF STATE,2/26/2025,20250000.0,2025-02-26,2025-03-05-1332,
284,DEPARTMENT OF STATE,2/26/2025,20176805.0,2025-02-26,2025-03-05-1332,
285,DEPARTMENT OF STATE,2/26/2025,19636020.0,2025-02-26,2025-03-05-1332,
286,DEPARTMENT OF STATE,2/26/2025,19119665.0,2025-02-26,2025-03-05-1332,
287,DEPARTMENT OF STATE,2/26/2025,19000000.0,2025-02-26,2025-03-05-1332,
288,DEPARTMENT OF STATE,2/26/2025,18930511.0,2025-02-26,2025-03-05-1332,
289,DEPARTMENT OF STATE,2/26/2025,18518518.0,2025-02-26,2025-03-05-1332,
290,DEPARTMENT OF STATE,2/26/2025,18390884.0,2025-02-26,2025-03-05-1332,
291,DEPARTMENT OF STATE,2/26/2025,18271605.0,2025-02-26,2025-03-05-1332,
292,DEPARTMENT OF STATE,2/26/2025,4885890.0,2025-02-26,2025-03-05-1332,
293,DEPARTMENT OF STATE,2/26/2025,18230357.0,2025-02-26,2025-03-05-1332,
294,DEPARTMENT OF STATE,2/26/2025,17981265.0,2025-02-26,2025-03-05-1332,
295,DEPARTMENT OF STATE,2/26/2025,17915753.0,2025-02-26,2025-03-05-1332,
296,DEPARTMENT OF STATE,2/26/2025,17500000.0,2025-02-26,2025-03-05-1332,
297,DEPARTMENT OF STATE,2/26/2025,17325101.0,2025-02-26,2025-03-05-1332,
298,DEPARTMENT OF STATE,2/26/2025,16218984.0,2025-02-26,2025-03-05-1332,
299,DEPARTMENT OF STATE,2/26/2025,16111638.0,2025-02-26,2025-03-05-1332,
300,DEPARTMENT OF STATE,2/26/2025,16045000.0,2025-02-26,2025-03-05-1332,
301,DEPARTMENT OF STATE,2/26/2025,15709203.0,2025-02-26,2025-03-05-1332,
302,DEPARTMENT OF STATE,2/26/2025,15331694.0,2025-02-26,2025-03-05-1332,
303,DEPARTMENT OF STATE,2/26/2025,15204563.0,2025-02-26,2025-03-05-1332,
304,DEPARTMENT OF STATE,2/26/2025,15111685.0,2025-02-26,2025-03-05-1332,
305,DEPARTMENT OF STATE,2/26/2025,14573933.0,2025-02-26,2025-03-05-1332,
306,DEPARTMENT OF STATE,2/26/2025,14469134.0,2025-02-26,2025-03-05-1332,
307,DEPARTMENT OF STATE,2/26/2025,13799360.0,2025-02-26,2025-03-05-1332,
308,DEPARTMENT OF STATE,2/26/2025,13749340.0,2025-02-26,2025-03-05-1332,
