agency,uploaded_on,value,uploaded_dt,dt_scrape,description
USAID,2/10/2025,16355000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,4700000.0,2025-02-10,2025-03-05-1332,
USAID,2/11/2025,21600000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,2399953.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,26490383.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,14950000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,500000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,14550000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,21000000.0,2025-02-11,2025-03-05-1332,
USAID,1/25/2025,9949533.0,2025-01-25,2025-03-05-1332,
USAID,2/11/2025,3020000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,1999451.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,19800000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,4000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,17500000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,6400000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,17000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,24500000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,29000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,25000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,36000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,20000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,47000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,4600000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,4186109.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,10851354.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,7000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,20469999.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,5000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,26056000.0,2025-02-11,2025-03-05-1332,
USAID,1/30/2025,400000.0,2025-01-30,2025-03-05-1332,
USAID,2/11/2025,19477181.0,2025-02-11,2025-03-05-1332,
USAID,2/12/2025,2000000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,15550000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,19000000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,9500000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,17600000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,19600000.0,2025-02-12,2025-03-05-1332,
USAID,2/6/2025,1799150.0,2025-02-06,2025-03-05-1332,
USAID,2/10/2025,77500000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,62500000.0,2025-02-10,2025-03-05-1332,
USAID,2/6/2025,7500000.0,2025-02-06,2025-03-05-1332,
USAID,2/6/2025,49964668.0,2025-02-06,2025-03-05-1332,
USAID,2/6/2025,199251.0,2025-02-06,2025-03-05-1332,
USAID,2/10/2025,4377394.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,2499995.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,899858.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,18735000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,700000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,5000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,8250000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,2500000.0,2025-02-10,2025-03-05-1332,
USAID,2/12/0205,59552142.0,,2025-03-05-1332,
USAID,2/11/2025,20100000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,70000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,35000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,53264317.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,24999825.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,40000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,79249987.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,62000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,42217035.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,43000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,49500000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,43568610.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,54992940.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,128500000.0,2025-02-11,2025-03-05-1332,
USAID,2/6/2025,1800000.0,2025-02-06,2025-03-05-1332,
USAID,2/11/2025,62900000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,38000000.0,2025-02-11,2025-03-05-1332,
USAID,2/11/2025,1323093.0,2025-02-11,2025-03-05-1332,
USAID,2/12/2025,93599994.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,96999895.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,47500000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,37495000.0,2025-02-12,2025-03-05-1332,
USAID,2/12/2025,60000000.0,2025-02-12,2025-03-05-1332,
USAID,2/6/2025,1500000.0,2025-02-06,2025-03-05-1332,
USAID,2/12/2025,25635960.0,2025-02-12,2025-03-05-1332,
USAID,2/6/2025,3467480.0,2025-02-06,2025-03-05-1332,
USAID,2/6/2025,1195836.0,2025-02-06,2025-03-05-1332,
USAID,2/7/2025,500000.0,2025-02-07,2025-03-05-1332,
USAID,2/10/2025,21823000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,40000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,90000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,55000000.0,2025-02-10,2025-03-05-1332,
USAID,2/11/2025,14500000.0,2025-02-11,2025-03-05-1332,
USAID,2/6/2025,318653764.0,2025-02-06,2025-03-05-1332,
USAID,2/11/2025,29946856.0,2025-02-11,2025-03-05-1332,
USAID,2/6/2025,30000000.0,2025-02-06,2025-03-05-1332,
USAID,2/6/2025,20759.0,2025-02-06,2025-03-05-1332,
USAID,2/11/2025,39484357.0,2025-02-11,2025-03-05-1332,
USAID,2/13/2025,60000000.0,2025-02-13,2025-03-05-1332,
USAID,2/13/2025,51310195.0,2025-02-13,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2165033.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4882350.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3692915.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2371270.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2804102.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,6513745.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,7117470.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,6657837.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,6568462.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1319977.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,5930962.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8378847.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3050976.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4006731.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2370130.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8389304.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,6007002.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,6241763.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2616124.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4171894.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8545893.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1414373.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,5649324.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1106304.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,5293227.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3335348.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4503669.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,7878539.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4228801.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2375747.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3356160.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,9719230.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1303909.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2294738.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3285709.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1261718.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1186935.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,487807.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3524401.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1849011.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4073691.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1797750.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3844820.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8044648.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3499999.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4719035.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,5898695.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,7487510.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,631843.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3791664.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,1184430.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,7469325.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,9306229.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,5747655.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,7975521.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2361400.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,9056449.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,2158238.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8502340.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4676106.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,4237200.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,9258547.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,7988347.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,5153884.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8017306.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3380649.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8407872.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,9913020.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,3067134.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/12/2025,8510029.0,2025-02-12,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/13/2025,8218498.0,2025-02-13,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/13/2025,8226640.0,2025-02-13,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/13/2025,8294184.0,2025-02-13,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/13/2025,8107355.0,2025-02-13,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,11396794.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,14126498.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,12144894.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,17763689.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,9022106.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,3610469.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,21275095.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,10270782.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,5715777.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,1763513.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,939768.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,6535968.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,12519835.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,6319419.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,7750850.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,8563751.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,6879974.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,10927183.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,7243753.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,17239813.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,1148881.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,11406253.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,6556437.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,5384154.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,13056227.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,2446069.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,13507563.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,7750000.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,9021560.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,25198845.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,22437090.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,30000000.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,5749996.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,12253440.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,11897855.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,23044104.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,9656886.9,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,11901866.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,11314749.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,15288255.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,5749999.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/18/2025,5750000.0,2025-02-18,2025-03-05-1332,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/20/2025,1000000.0,2025-02-20,2025-03-05-1332,
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,4000000.0,2025-02-22,2025-03-05-1332,
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,5100000.0,2025-02-22,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,22300.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,250000000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,96325832.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,63042000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,59250000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,53660000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,50850000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,50677151.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,45000000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,43657781.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,38213325.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,35000000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,31510591.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,30905027.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,30147074.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,30000000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,28410490.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,28064399.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,27729878.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,25298782.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,22469135.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,21873120.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,21728395.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,20897571.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,20450000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,20250000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,20176805.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,19636020.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,19119665.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,19000000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,18930511.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,18518518.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,18390884.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,18271605.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,4885890.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,18230357.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,17981265.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,17915753.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,17500000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,17325101.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,16218984.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,16111638.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,16045000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,15709203.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,15331694.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,15204563.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,15111685.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,14573933.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,14469134.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,13799360.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,13749340.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,13363942.39,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,1958000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,13310000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,13216370.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,16739.75,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,12866082.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,12819252.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,12340000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,12218281.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,11731000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,11417683.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,10005000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,10000000.0,2025-02-26,2025-03-05-1332,
DEPARTMENT OF STATE,2/26/2025,9899333.57,2025-02-26,2025-03-05-1332,
