piid,agency,vendor,value,description_doge,fpds_status,fpds_link,deleted_date,savings,award_agency,award_procurement_id,award_modification_num,ref_idv_agency,ref_idv_procurement_id,ref_idv_modification_num,date_signed,date_effective,date_complete,date_ult_complete_est,date_solicitation,amount_obligated,amount_obligated_total,amount_base_exercised_options,amount_base_exercised_options_total,amount_ultimate,amount_ultimate_total,entity_id,entity_name,entity_dba,cage_code,entity_street,entity_street_2,entity_city,entity_state,entity_zip,entity_county,entity_county_disp,entity_phone,entity_fax,entity_congressional_district,product_service_code,product_service_desc,principal_naics_code,principal_naics_desc,performance_state,performance_location,performance_country,performance_county,performance_city,performance_congressional_district,performance_zip,performance_zip_ext,requirement_desc,dt_scrape
70B06C24C00000184,Department of Homeland Security,RED CARROT INC,24753190,CBP OFFICE OF TRADE INTELLECTUAL PROPERTY RIGHTS AND GREEN TRADE CAMPAIGN,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7014&PIID=70B06C24C00000184&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,0,7014,70B06C24C00000184,P00001,,,,12/12/2024,09/30/2024,09/29/2025,09/29/2027,09/26/2024,0.0,650000.0,0.0,650000.0,0.0,1650000.0,MG75EJJPLFZ7,RED CARROT INC,,6Q701,1951 NW 7TH AVE STE 600,,MIAMI,FL,331361128,USA,UNITED STATES,(305) 504-8769,,FLORIDA 26,R708,SUPPORT- MANAGEMENT: PUBLIC RELATIONS,541613.0,MARKETING CONSULTING SERVICES,FL,,USA,MIAMI-DADE,MIAMI,,33136,1128.0,,2025-04-04-0017
70FA6025F00000004,Department of Homeland Security,"YES& FEDERAL, LLC",14689166,"Comprehensive communications support, including outreach, marketing, and advertising for flood insurance products and services.",SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7022&PIID=70FA6025F00000004&modNumber=P00001&idvAgencyID=&idvPIID=70FA6020A00000002&contractType=AWARD,3/28/2025,0,7022,70FA6025F00000004,P00001,7022,70FA6020A00000002,P00009,03/06/2025,01/01/2025,09/29/2025,09/30/2025,09/09/2024,-5859400.81,8829764.85,-5859400.81,8829764.85,-5859400.81,8829764.85,D28ANMMENT87,"YES& FEDERAL, LLC",,1UP68,1700 DIAGONAL RD STE 450,,ALEXANDRIA,VA,223142849,USA,UNITED STATES,(703) 823-5671,(703) 823-1694,VIRGINIA 08,R701,SUPPORT- MANAGEMENT: ADVERTISING,541810.0,ADVERTISING AGENCIES,VA,,USA,ALEXANDRIA CITY,ALEXANDRIA,,22314,2843.0,,2025-04-04-0017
75N98022P03031,Department of Health and Human Services,Cision,291003,Enhanced Analytics Service and Web Database.,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98022P03031&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,0,7529,75N98022P03031,P00004,,,,08/13/2024,09/26/2022,09/28/2025,09/28/2025,09/19/2022,102267.9,291002.9,102267.9,291002.9,102267.9,291002.9,E82BK4M5X4B1,CISION US INC.,,1LH08,130 E RANDOLPH ST 7TH FL,,CHICAGO,IL,606016164,USA,UNITED STATES,(201) 360-6660,,ILLINOIS 07,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,519130.0,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,MD,,USA,MONTGOMERY,BETHESDA,,20892,1.0,,2025-04-04-0017
75D30124C19300,Department of Health and Human Services,"GOLDBELT PROFESSIONAL SERVICES, LLC",22586349,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES EPB STAFFING CONTRACT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19300&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,18626625,7523,75D30124C19300,P00003,,,,02/25/2025,07/01/2024,06/30/2025,06/30/2029,06/18/2024,0.0,3959724.0,0.0,3959724.0,0.0,22586348.96,L6EGSSQUATW9,"GOLDBELT PROFESSIONAL SERVICES, LLC",,6Y1M0,860 GREENBRIER CIR STE 410,,CHESAPEAKE,VA,233202640,USA,UNITED STATES,(757) 550-2108,,VIRGINIA 03,R499,SUPPORT- PROFESSIONAL: OTHER,541690.0,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,VA,,USA,CHESAPEAKE CITY,CHESAPEAKE,,23320,2640.0,,2025-04-04-0017
36C77623N0888,Department of Veterans Affairs,"J P SYSTEMS, INC.",33753802,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES TERMINOLOGY STANDARDS SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77623N0888&modNumber=P00003&idvAgencyID=&idvPIID=36C77621D0020&contractType=AWARD,3/28/2025,17289930,3600,36C77623N0888,P00003,3600,36C77621D0020,0,03/05/2025,09/20/2023,03/05/2025,03/05/2025,07/06/2023,0.0,16463872.2,0.0,16463872.2,0.0,33753801.84,PX35YDEXGEJ5,"J P SYSTEMS, INC.",,3YHH1,7419 KINCHELOE RD,,CLIFTON,VA,201241831,USA,UNITED STATES,(703) 864-9247,(888) 789-8990,VIRGINIA 10,R499,SUPPORT- PROFESSIONAL: OTHER,541690.0,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,VA,,USA,FAIRFAX,CLIFTON,,20124,1831.0,,2025-04-04-0017
19AQMM20F3515,Department of State,"PAE GOVERNMENT SERVICES, INC.",47311013,"OTHER MANAGEMENT CONSULTING SERVICES AF/ DJIBOUTI, SOMALIA APC-SNA CREW",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM20F3515&modNumber=P00019&idvAgencyID=&idvPIID=SAQMMA17D0080&contractType=AWARD,3/28/2025,11849766,1900,19AQMM20F3515,P00019,1900,SAQMMA17D0080,P00011,03/17/2025,09/24/2020,12/10/2025,12/10/2025,07/15/2020,0.0,35461246.94,0.0,47082205.13,0.0,47311012.92,JENBF1KKWZ93,"PAE GOVERNMENT SERVICES, INC.",,00TB2,1320 N COURTHOUSE RD STE 700,,ARLINGTON,VA,222012501,USA,UNITED STATES,(301) 944-3100,,VIRGINIA 11,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541618.0,OTHER MANAGEMENT CONSULTING SERVICES,,,SOM,,SOMALIA,,201514247,,,2025-04-04-0017
70T05024F7800N001,Department of Homeland Security,GUIDEHOUSE INC.,7884380,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES STRATEGY, POLICY, AND ENTERPRISE EXECUTION RESOURCE SUPPORT (SPEERS)",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7013&PIID=70T05024F7800N001&modNumber=P00001&idvAgencyID=&idvPIID=70T04021A7672N001&contractType=AWARD,3/28/2025,6515797,7013,70T05024F7800N001,P00001,7013,70T04021A7672N001,P00009,03/27/2025,09/27/2024,09/26/2025,09/26/2029,08/14/2024,-2061751.98,1368582.87,0.0,7884380.08,0.0,7884380.08,N9NJK877QJK9,GUIDEHOUSE INC.,,1HLR9,1676 INTERNATIONAL DR STE 800,,MC LEAN,VA,221023600,USA,UNITED STATES,(301) 219-6990,,VIRGINIA 11,R617,SUPPORT - ADMINISTRATIVE: ELECTRONIC RECORDS MANAGEMENT SERVICES,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TX,,USA,HARRIS,HOUSTON,,77010,4023.0,,2025-04-04-0017
2023H225C00025,Department of Treasury,ATI GOVERNMENT SOLUTIONS LLC,24872601,"HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES, IRS SEEKS TO MINIMIZE THE BURDEN OF INVESTIGATION ON LEGITIMATE TAXPAYERS AND ENSURE TIMELY DELIVERY OF TAX REFUNDS. IN ADDITION, THE IRS SEEKS TO STRENGTHEN PROTECTIONS FOR TAXPAYERS & THE TAX SYSTEM.",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2023H225C00025&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,5084964,2050,2023H225C00025,P00001,,,,03/14/2025,01/31/2025,03/14/2025,03/14/2025,01/03/2025,0.0,19787636.48,0.0,19787636.48,0.0,24872600.68,C1ZLDAS18FJ3,ATI GOVERNMENT SOLUTIONS LLC,,6LBT0,"47 E SOUTH ST, UNIT 002",,FREDERICK,MD,217015980,USA,UNITED STATES,(703) 307-8058,,MARYLAND 06,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541612.0,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",MD,,USA,PRINCE GEORGES,LANHAM,,20706,1336.0,,2025-04-04-0017
75D30124C18343,Department of Health and Human Services,"EAGLE HEALTH ANALYTICS, LLC",7678948,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C18343&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,4742381,7523,75D30124C18343,P00004,,,,03/07/2025,12/29/2023,12/28/2025,12/28/2028,11/01/2023,0.0,2936567.0,0.0,2936567.0,0.0,7678947.8,UCNERAQ7G8J3,"EAGLE HEALTH ANALYTICS, LLC",,85TV8,111 W 16TH AVE,STE 424,ANCHORAGE,AK,995015169,USA,UNITED STATES,(205) 213-0967,,ALASKA 00,R499,SUPPORT- PROFESSIONAL: OTHER,541690.0,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,GA,,USA,DEKALB,ATLANTA,,30329,4018.0,,2025-04-04-0017
75D30123F17573,Department of Health and Human Services,"CMGRP, INC.",12754569,MARKETING CONSULTING SERVICES ARX COMMUNICATIONS & MEDIA,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F17573&modNumber=P00002&idvAgencyID=&idvPIID=HHSD2002015M88164B&contractType=AWARD,3/28/2025,4543868,7523,75D30123F17573,P00002,7523,HHSD2002015M88164B,0,03/12/2025,09/01/2023,08/31/2025,08/31/2026,04/10/2023,0.0,8210700.46,0.0,8210700.46,0.0,12754568.84,RXN6RGGRJD71,"CMGRP, INC.",,37FD1,909 3RD AVE FL 7,,NEW YORK,NY,100224764,USA,UNITED STATES,(202) 585-2825,(212) 445-8013,NEW YORK 10,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,541613.0,MARKETING CONSULTING SERVICES,NY,,USA,NEW YORK,NEW YORK,,10022,4764.0,,2025-04-04-0017
19AQMM23F3309,Department of State,"SINCERUS GLOBAL SOLUTIONS, INC.",6640712,OTHER MANAGEMENT CONSULTING SERVICES GHANA MARITIME MAINTENANCE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM23F3309&modNumber=P00003&idvAgencyID=&idvPIID=SAQMMA17D0079&contractType=AWARD,3/28/2025,4384910,1900,19AQMM23F3309,P00003,1900,SAQMMA17D0079,P00010,03/03/2025,09/29/2023,09/28/2025,09/28/2028,06/29/2023,0.0,2255802.0,0.0,6640711.5,0.0,6640711.5,M54ZJDV8LMU6,"SINCERUS GLOBAL SOLUTIONS, INC.",,8KRB6,8850 LIBERTY OAKS PL,,NOKESVILLE,VA,201813252,USA,UNITED STATES,(202) 374-1572,,VIRGINIA 08,U099,EDUCATION/TRAINING- OTHER,541618.0,OTHER MANAGEMENT CONSULTING SERVICES,,,GHA,,GHANA,,222034128,,,2025-04-04-0017
31310025C0003,Nuclear Regulatory Comission,HUMAN CAPTIAL RESOURCES & CONCEPTS INC,4175572,"HUMAN RESOURCES CONSULTING SERVICES, HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002) ORGANIZATIONAL DEVELOPMENT (OD) SERVICES FOR THE U. S. NUCLEAR REGULATORY COMMISSION (NRC).",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3100&PIID=31310025C0003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,4125572,3100,31310025C0003,P00001,,,,03/26/2025,11/08/2024,11/17/2029,11/17/2029,10/16/2024,0.0,50000.0,0.0,782411.8,0.0,4175572.04,YJ27BFDDW5Z3,HUMAN CAPTIAL RESOURCES & CONCEPTS INC,,7C0Z1,8349 CYPRESS TRACE BLVD,,LAKELAND,FL,338091732,USA,UNITED STATES,(863) 269-0491,,FLORIDA 18,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541612.0,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",FL,,USA,POLK,WINTER HAVEN,,33880,3412.0,,2025-04-04-0017
2032H525F00034,Department of Treasury,THE MITRE CORPORATION,3357214,OTHER MANAGEMENT CONSULTING SERVICES BUREAU OF FISCAL SERVICES VISIONING SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H525F00034&modNumber=P00001&idvAgencyID=2050&idvPIID=TIRNO99D00005&contractType=AWARD,3/28/2025,3357214,2050,2032H525F00034,P00001,2050,TIRNO99D00005,0,03/07/2025,12/01/2024,03/07/2025,03/07/2025,,-3357214.0,0.0,0.0,3357214.0,0.0,3357214.0,DMHDNDCPWUD1,THE MITRE CORPORATION,,7L030,7515 COLSHIRE DR,,MC LEAN,VA,221027539,USA,UNITED STATES,(703) 983-5688,(703) 983-7121,VIRGINIA 11,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541618.0,OTHER MANAGEMENT CONSULTING SERVICES,VA,,USA,FAIRFAX,MCLEAN,,22102,4947.0,,2025-04-04-0017
12314422C0047,Department of Agriculture,"KAIVA TECH, LLC",6498901,"FUNCTIONAL BUSINESS CONSULTING AND SUPPORT SERVICES ON BEHALF OF THE AGENCY STAFF:THE CONTRACTOR SHALL PROVIDE PROFESSIONAL CONSULTING SERVICES TO SUPPORT THE MANAGEMENT, OVERSIGHT, AND IMPROVEMENT OF FPAC IT INITIATIVES, SYSTEMS AND PROCESSES THAT - PROFESSIONAL CONSULTING AND SUPPORT SERVICES FOR FARM PRODUCTION AND CONSERVATION (FPAC) IT INITIATIVES, SYSTEMS, AND PROCESSES THAT SUPPORT FPAC INFORMATION SOLUTIONS DIVISION STRATEGIC AND OPERATIONAL DIRECTION.",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422C0047&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,3330101,1205,12314422C0047,P00004,,,,02/24/2025,07/01/2022,02/24/2025,06/30/2027,06/29/2022,0.0,3168799.95,0.0,3168799.95,0.0,6498901.05,LJHDHAE4FB75,"KAIVA TECH, LLC",,8N8J5,6060 W 3650 N STE 500,,IVINS,UT,847386618,USA,UNITED STATES,(435) 817-2105,,UTAH 02,R799,SUPPORT- MANAGEMENT: OTHER,541519.0,OTHER COMPUTER RELATED SERVICES,UT,,USA,WASHINGTON,IVINS,,84738,6618.0,,2025-04-04-0017
75D30123C18061,Department of Health and Human Services,"CHICKASAW FEDERAL HEALTH, LLC",9845397,MARKETING CONSULTING SERVICES DPH COMMUNICATION SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C18061&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,3184224,7523,75D30123C18061,P00002,,,,03/11/2025,09/30/2023,09/29/2025,09/29/2026,08/03/2023,0.0,6661172.92,0.0,7040664.76,0.0,9845396.52,CAMXRD5CHVN6,"CHICKASAW FEDERAL HEALTH, LLC",,9CLK4,"2600 JOHN SAXON BLVD., SUITE 2227",,NORMAN,OK,730711166,USA,UNITED STATES,(405) 253-8220,,OKLAHOMA 04,R499,SUPPORT- PROFESSIONAL: OTHER,541613.0,MARKETING CONSULTING SERVICES,GA,,USA,DEKALB,ATLANTA,,30341,2221.0,,2025-04-04-0017
12FPC223C0002,Department of Agriculture,STRAUGHAN-JMT A JOINT VENTURE,5102704,"RAD LAB CONTRACT- SUPPORT RESOURCE CONSERVATION ACT (RCA) FOR THE RESOURCE ASSESSMENT DIVISION - SSRA USDA NRCS FOR BELTSVILLE, MARYLAND - RAD LAB CONTRACT- SUPPORT RESOURCE CONSERVATION ACT (RCA) FOR THE RESOURCE ASSESSMENT DIVISION",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12D0&PIID=12FPC223C0002&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,3175689,12D0,12FPC223C0002,P00002,,,,02/24/2025,04/24/2023,04/23/2025,04/23/2028,02/16/2023,0.0,1927015.26,0.0,1927015.26,0.0,5102704.48,QC4WX1RKWBH7,STRAUGHAN-JMT A JOINT VENTURE,,9FDX9,10245 OLD COLUMBIA RD,,COLUMBIA,MD,210462540,USA,UNITED STATES,(443) 539-2515,,MARYLAND 03,R799,SUPPORT- MANAGEMENT: OTHER,541370.0,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,MD,,USA,HOWARD,COLUMBIA,,21046,2540.0,,2025-04-04-0017
75D30124C19966,Department of Health and Human Services,STRATIVIA LLC,3133384,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES ADMINISTRATIVE TECHNICAL ASSISTANCE OPERATIONAL MGT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19966&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,2451803,7523,75D30124C19966,P00001,,,,12/19/2024,09/21/2024,09/20/2025,09/20/2029,04/30/2024,0.0,681580.8,0.0,681580.8,-510220.8,3133384.0,L7ECBDRNSNM7,STRATIVIA LLC,,5VR08,1401 MERCANTILE LANE,SUITE 501,LARGO,MD,207744301,USA,UNITED STATES,(301) 362-6555,(301) 362-6557,MARYLAND 04,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MD,,USA,PRINCE GEORGES,UPPER MARLBORO,,20774,4324.0,,2025-04-04-0017
